Make,AccidentArea,MonthClaimed,Sex,MaritalStatus,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy
Pontiac,Urban,May,Female,Single,Policy Holder,Sedan - Liability,Sport,more than 69000,0,400,3,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Liability
Mazda,Urban,Apr,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
Pontiac,Urban,May,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
Pontiac,Urban,Mar,Female,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
Honda,Urban,Mar,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,1,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability
Honda,Urban,Dec,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,1,more than 30,more than 30,more than 4,5 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
Ford,Urban,Dec,Female,Single,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,3,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
Mazda,Urban,Aug,Male,Married,Policy Holder,Sedan - All Perils,Sedan,less than 20000,1,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
Honda,Urban,Nov,Female,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
Mazda,Urban,Nov,Male,Divorced,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
Mazda,Urban,Nov,Female,Single,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,3,more than 30,more than 30,1,5 years,26 to 30,No,No,External,more than 5,4 to 8 years,2 vehicles,1994,All Perils
Chevrolet,Urban,Nov,Male,Married,Third Party,Sedan - Collision,Sedan,more than 69000,0,400,4,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
Pontiac,Urban,Nov,Male,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
Honda,Urban,Nov,Male,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
Toyota,Urban,Aug,Male,Married,Policy Holder,Sedan - All Perils,Sedan,more than 69000,1,400,1,more than 30,more than 30,2 to 4,7 years,over 65,No,No,External,more than 5,no change,3 to 4,1994,All Perils
Toyota,Urban,Nov,Male,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
Toyota,Urban,Oct,Male,Married,Third Party,Sedan - All Perils,Sedan,less than 20000,1,500,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,more than 5,2 to 3 years,1 vehicle,1994,All Perils
Toyota,Urban,Oct,Male,Single,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
Pontiac,Urban,Aug,Male,Single,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
Mazda,Urban,Sep,Female,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,3,more than 30,more than 30,1,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Liability
Pontiac,Urban,Oct,Male,Single,Third Party,Sedan - All Perils,Sedan,less than 20000,0,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils
Mazda,Urban,Sep,Male,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
Honda,Urban,Sep,Male,Married,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
Pontiac,Urban,Sep,Female,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,3,more than 30,more than 30,none,4 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
Pontiac,Urban,Sep,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,3,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
Chevrolet,Urban,Sep,Male,Married,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,Yes,No,External,1 to 2,no change,1 vehicle,1994,All Perils
Pontiac,Urban,Sep,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
Mazda,Urban,Aug,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
Toyota,Urban,Aug,Male,Single,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,1,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability
Chevrolet,Urban,Jul,Male,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,3,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
Mazda,Urban,Jul,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
Toyota,Urban,Jul,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,1,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,more than 5,4 to 8 years,2 vehicles,1994,Liability
Pontiac,Urban,Jun,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,3,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
Mazda,Urban,Jun,Male,Married,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,400,2,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision
Honda,Urban,Jun,Male,Single,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
Accura,Urban,Jun,Male,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
Toyota,Urban,Jun,Female,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
Mazda,Urban,May,Male,Married,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
Pontiac,Urban,Jun,Male,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
Honda,Urban,May,Male,Married,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,400,2,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
Toyota,Urban,May,Male,Single,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,none,4 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,All Perils
Accura,Urban,May,Male,Married,Third Party,Sedan - Liability,Sport,30000 to 39000,0,700,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability
Chevrolet,Urban,May,Female,Married,Policy Holder,Sedan - Liability,Sport,more than 69000,0,400,4,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
Chevrolet,Urban,May,Female,Single,Policy Holder,Sedan - Liability,Sport,more than 69000,0,400,2,more than 30,more than 30,2 to 4,3 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
Chevrolet,Urban,Apr,Male,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,4,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
Mazda,Urban,May,Male,Single,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,more than 4,6 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,1994,Collision
VW,Urban,May,Male,Married,Policy Holder,Sedan - Liability,Sport,more than 69000,0,400,2,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,Liability
Honda,Urban,Aug,Male,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,400,1,more than 30,more than 30,none,6 years,51 to 65,No,No,External,none,no change,1 vehicle,1994,Collision
Honda,Urban,Apr,Male,Married,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
Honda,Urban,Apr,Male,Single,Third Party,Sport - Collision,Sport,more than 69000,0,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
Chevrolet,Urban,Aug,Male,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,1,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
Pontiac,Rural,Apr,Male,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,All Perils
Pontiac,Urban,Apr,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,3,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,1994,Liability
Mazda,Urban,Mar,Male,Married,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,400,4,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
Pontiac,Urban,Aug,Male,Married,Third Party,Sedan - All Perils,Sedan,less than 20000,0,400,3,more than 30,more than 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
Chevrolet,Urban,Jul,Female,Married,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,400,4,more than 30,more than 30,2 to 4,4 years,31 to 35,No,No,External,more than 5,no change,3 to 4,1994,Collision
Pontiac,Rural,Nov,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,2,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,Internal,more than 5,no change,1 vehicle,1994,Liability
Pontiac,Urban,Nov,Male,Single,Third Party,Sedan - Liability,Sport,20000 to 29000,0,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
Toyota,Urban,Aug,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
Chevrolet,Urban,Sep,Male,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,400,2,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
Toyota,Urban,Dec,Female,Married,Third Party,Sedan - Liability,Sport,less than 20000,0,400,4,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
Mazda,Urban,Sep,Male,Single,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,2 to 4,4 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
Honda,Urban,Dec,Male,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,3,more than 30,more than 30,1,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Liability
Pontiac,Urban,Jul,Male,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
Pontiac,Urban,Jul,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
Pontiac,Urban,Aug,Male,Married,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,1,400,1,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
Ford,Urban,Oct,Male,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,400,3,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,3 to 5,1 year,1 vehicle,1994,All Perils
Mazda,Urban,Dec,Male,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,500,4,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,2 to 3 years,1 vehicle,1994,Collision
Chevrolet,Urban,Dec,Male,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,2,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
Toyota,Urban,Nov,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision
Honda,Urban,Aug,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,1,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,Liability
Pontiac,Rural,Oct,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
Toyota,Urban,Dec,Male,Single,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,3,more than 30,more than 30,2 to 4,4 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
Toyota,Urban,Nov,Male,Married,Third Party,Sedan - Collision,Sedan,more than 69000,0,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,4 to 8 years,2 vehicles,1994,Collision
Honda,Urban,Dec,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,2,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability
Honda,Urban,Jul,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,2,more than 30,more than 30,more than 4,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
Accura,Urban,Jul,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
Pontiac,Urban,Jul,Female,Married,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,400,3,more than 30,more than 30,2 to 4,5 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
Chevrolet,Urban,Jun,Male,Married,Policy Holder,Utility - All Perils,Utility,more than 69000,0,400,2,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
Honda,Rural,Sep,Male,Married,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,All Perils
Honda,Urban,Aug,Male,Married,Policy Holder,Sedan - All Perils,Sedan,less than 20000,1,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
Honda,Urban,May,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,4,more than 30,more than 30,1,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
Honda,Urban,Nov,Female,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
Accura,Urban,Nov,Male,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
Mazda,Urban,Nov,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,3,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
Honda,Urban,Mar,Male,Single,Policy Holder,Sport - All Perils,Sport,more than 69000,0,400,2,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,All Perils
Chevrolet,Urban,Jan,Male,Single,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
Mazda,Urban,Jan,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,3,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
Honda,Urban,Jul,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,4,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability
Saab,Urban,Jan,Female,Widow,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,1,more than 30,more than 30,1,5 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,1994,Collision
Toyota,Urban,Feb,Male,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,none,7 years,51 to 65,No,No,External,none,no change,1 vehicle,1994,All Perils
Ford,Urban,Aug,Male,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,1,400,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Collision
Ford,Urban,Mar,Male,Married,Policy Holder,Sedan - Collision,Sedan,40000 to 59000,0,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
Chevrolet,Urban,Mar,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,3,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability
Chevrolet,Urban,Mar,Female,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,4 to 8 years,2 vehicles,1994,Collision
Honda,Urban,Mar,Male,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
Pontiac,Urban,Oct,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,none,6 years,36 to 40,No,No,External,1 to 2,no change,3 to 4,1994,Collision
Toyota,Rural,Oct,Female,Single,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
Pontiac,Urban,Oct,Male,Married,Policy Holder,Utility - All Perils,Utility,40000 to 59000,0,400,1,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils
Pontiac,Urban,Oct,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,2,more than 30,more than 30,none,more than 7,over 65,No,No,External,none,no change,1 vehicle,1994,Liability
Mecedes,Urban,Sep,Female,Single,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,400,3,more than 30,more than 30,none,3 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Collision
Chevrolet,Urban,Feb,Male,Married,Policy Holder,Utility - Liability,Utility,more than 69000,0,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,Internal,3 to 5,no change,1 vehicle,1994,Liability
Accura,Urban,Mar,Male,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
Honda,Urban,Apr,Male,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,700,1,more than 30,more than 30,2 to 4,7 years,51 to 65,No,No,External,none,no change,1 vehicle,1994,Collision
Chevrolet,Urban,Aug,Male,Single,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
Honda,Urban,Jun,Male,Married,Third Party,Sedan - Liability,Sport,more than 69000,0,400,3,more than 30,more than 30,2 to 4,more than 7,over 65,No,No,External,none,no change,1 vehicle,1994,Liability
Pontiac,Urban,Apr,Male,Single,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,1,3 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,All Perils
Chevrolet,Urban,Aug,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
Pontiac,Urban,Aug,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,none,6 years,31 to 35,Yes,No,External,1 to 2,no change,1 vehicle,1994,Collision
Pontiac,Urban,Nov,Male,Married,Third Party,Sedan - Liability,Sport,30000 to 39000,0,400,4,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,Internal,more than 5,no change,1 vehicle,1994,Liability
Mazda,Urban,Dec,Male,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,3,more than 30,more than 30,1,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Collision
Mazda,Urban,Nov,Female,Married,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,none,5 years,31 to 35,Yes,No,External,more than 5,no change,1 vehicle,1994,All Perils
Mazda,Urban,Nov,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,none,4 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
Pontiac,Urban,Aug,Male,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,4,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
Pontiac,Urban,Jul,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
Mazda,Urban,Mar,Male,Married,Third Party,Sport - Collision,Sport,more than 69000,0,400,2,more than 30,more than 30,none,4 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,1994,Collision
Accura,Urban,Mar,Female,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,1,more than 30,more than 30,none,7 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
Pontiac,Urban,Mar,Male,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
Honda,Urban,Sep,Male,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,500,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,2 to 3 years,1 vehicle,1994,Collision
Mazda,Urban,Mar,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
Mazda,Urban,Mar,Female,Married,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,none,3 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
Mazda,Urban,Feb,Male,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
Toyota,Urban,Mar,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
Mazda,Urban,May,Male,Married,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,400,1,more than 30,more than 30,1,7 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
Pontiac,Urban,May,Male,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
Toyota,Urban,Mar,Male,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils
Honda,Rural,Apr,Male,Single,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,400,4,more than 30,more than 30,1,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Collision
Pontiac,Urban,Mar,Male,Single,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
Ford,Rural,Nov,Male,Single,Policy Holder,Sedan - All Perils,Sedan,more than 69000,1,400,3,15 to 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
Mazda,Urban,Mar,Male,Married,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
Honda,Urban,Aug,Male,Single,Policy Holder,Sport - Collision,Sport,more than 69000,1,400,1,more than 30,more than 30,none,5 years,21 to 25,No,No,External,none,no change,1 vehicle,1994,Collision
